text,username,followers,label,confidence,explanations
Click here to claim your iPhone now!,user0000,1428,Fake,0.87,"click, claim"
Thanks for all the support!,user0001,8067,Real,0.9,
Click here to claim your winner now!,user0002,1608,Fake,0.95,"winner, click, claim"
Click here to claim your reward now!,user0003,8282,Fake,0.93,"reward, click, claim"
We just hit a milestone!,user0004,1521,Real,0.91,
Excited to announce our new product.,user0005,5310,Real,0.88,
We just hit a milestone!,user0006,6993,Real,0.96,
Grateful for 10K followers!,user0007,2411,Real,0.96,
Grateful for 10K followers!,user0008,5415,Real,0.93,
Click here to claim your iPhone now!,user0009,7136,Fake,0.95,"click, claim"
Click here to claim your reward now!,user0010,7834,Fake,0.93,"reward, click, claim"
Click here to claim your click now!,user0011,3925,Fake,0.96,"click, claim"
Thanks for all the support!,user0012,8960,Real,0.92,
Click here to claim your free now!,user0013,6120,Fake,0.88,"free, click, claim"
Click here to claim your winner now!,user0014,731,Fake,0.98,"winner, click, claim"
We just hit a milestone!,user0015,3368,Real,0.98,
Click here to claim your winner now!,user0016,4727,Fake,0.88,"winner, click, claim"
Grateful for 10K followers!,user0017,4100,Real,0.99,
Click here to claim your cash now!,user0018,8093,Fake,0.9,"cash, click, claim"
Grateful for 10K followers!,user0019,7895,Real,0.99,
We just hit a milestone!,user0020,5232,Real,0.86,
Click here to claim your click now!,user0021,8029,Fake,0.98,"click, claim"
Thanks for all the support!,user0022,5677,Real,0.89,
Excited to announce our new product.,user0023,4341,Real,0.99,
We just hit a milestone!,user0024,7920,Real,0.94,
Click here to claim your click now!,user0025,4871,Fake,0.91,"click, claim"
Click here to claim your click now!,user0026,8757,Fake,0.85,"click, claim"
Join us for the live event tomorrow.,user0027,2562,Real,0.92,
Join us for the live event tomorrow.,user0028,9376,Real,0.94,
Grateful for 10K followers!,user0029,3441,Real,0.94,
Click here to claim your reward now!,user0030,9365,Fake,0.88,"reward, click, claim"
Excited to announce our new product.,user0031,7082,Real,0.96,
Click here to claim your winner now!,user0032,5908,Fake,0.95,"winner, click, claim"
Click here to claim your free now!,user0033,6988,Fake,0.87,"free, click, claim"
Click here to claim your free now!,user0034,4260,Fake,0.94,"free, click, claim"
Click here to claim your cash now!,user0035,5205,Fake,0.97,"cash, click, claim"
Click here to claim your free now!,user0036,6702,Fake,0.89,"free, click, claim"
Click here to claim your reward now!,user0037,4336,Fake,0.91,"reward, click, claim"
Click here to claim your selected now!,user0038,284,Fake,0.88,"selected, click, claim"
Excited to announce our new product.,user0039,8821,Real,0.85,
We just hit a milestone!,user0040,486,Real,0.88,
We just hit a milestone!,user0041,7404,Real,0.86,
Click here to claim your reward now!,user0042,5995,Fake,0.88,"reward, click, claim"
Grateful for 10K followers!,user0043,744,Real,0.86,
Click here to claim your reward now!,user0044,4722,Fake,0.92,"reward, click, claim"
Thanks for all the support!,user0045,7836,Real,0.87,
We just hit a milestone!,user0046,2689,Real,0.9,
We just hit a milestone!,user0047,3270,Real,0.99,
Click here to claim your congratulations now!,user0048,8465,Fake,0.93,"click, claim, congratulations"
We just hit a milestone!,user0049,2349,Real,0.94,
Click here to claim your reward now!,user0050,6602,Fake,0.88,"reward, click, claim"
Click here to claim your claim now!,user0051,549,Fake,0.92,"click, claim"
Click here to claim your iPhone now!,user0052,129,Fake,0.93,"click, claim"
Click here to claim your winner now!,user0053,3716,Fake,0.97,"winner, click, claim"
Click here to claim your selected now!,user0054,9632,Fake,0.94,"selected, click, claim"
Click here to claim your winner now!,user0055,8746,Fake,0.88,"winner, click, claim"
Click here to claim your prize now!,user0056,2528,Fake,0.95,"prize, click, claim"
Click here to claim your cash now!,user0057,5698,Fake,0.86,"cash, click, claim"
Thanks for all the support!,user0058,7905,Real,0.91,
Click here to claim your selected now!,user0059,1579,Fake,0.95,"selected, click, claim"
Click here to claim your prize now!,user0060,7397,Fake,0.88,"prize, click, claim"
Click here to claim your iPhone now!,user0061,130,Fake,0.98,"click, claim"
Click here to claim your reward now!,user0062,6783,Fake,0.95,"reward, click, claim"
Grateful for 10K followers!,user0063,5516,Real,0.88,
Click here to claim your iPhone now!,user0064,6397,Fake,0.97,"click, claim"
Grateful for 10K followers!,user0065,5982,Real,0.88,
Click here to claim your claim now!,user0066,6187,Fake,0.92,"click, claim"
We just hit a milestone!,user0067,743,Real,0.86,
Click here to claim your free now!,user0068,66,Fake,0.86,"free, click, claim"
Click here to claim your cash now!,user0069,9250,Fake,0.91,"cash, click, claim"
Excited to announce our new product.,user0070,2386,Real,0.97,
Thanks for all the support!,user0071,2717,Real,0.99,
Click here to claim your winner now!,user0072,1088,Fake,0.93,"winner, click, claim"
Excited to announce our new product.,user0073,9906,Real,0.93,
Click here to claim your click now!,user0074,6472,Fake,0.88,"click, claim"
We just hit a milestone!,user0075,624,Real,0.87,
Excited to announce our new product.,user0076,7615,Real,0.87,
Click here to claim your click now!,user0077,804,Fake,0.85,"click, claim"
We just hit a milestone!,user0078,43,Real,0.89,
Click here to claim your prize now!,user0079,6539,Fake,0.91,"prize, click, claim"
Click here to claim your claim now!,user0080,9905,Fake,0.95,"click, claim"
Click here to claim your iPhone now!,user0081,2875,Fake,0.94,"click, claim"
Click here to claim your selected now!,user0082,3476,Fake,0.93,"selected, click, claim"
Join us for the live event tomorrow.,user0083,1197,Real,0.92,
Click here to claim your cash now!,user0084,9227,Fake,0.93,"cash, click, claim"
We just hit a milestone!,user0085,6353,Real,0.87,
Join us for the live event tomorrow.,user0086,7697,Real,0.99,
Grateful for 10K followers!,user0087,9258,Real,0.97,
Click here to claim your cash now!,user0088,4448,Fake,0.94,"cash, click, claim"
Click here to claim your selected now!,user0089,1443,Fake,0.91,"selected, click, claim"
Excited to announce our new product.,user0090,2617,Real,0.87,
Click here to claim your free now!,user0091,3132,Fake,0.92,"free, click, claim"
Click here to claim your claim now!,user0092,7076,Fake,0.9,"click, claim"
Thanks for all the support!,user0093,4210,Real,0.91,
Join us for the live event tomorrow.,user0094,8380,Real,0.98,
Thanks for all the support!,user0095,1057,Real,0.91,
Click here to claim your winner now!,user0096,8013,Fake,0.91,"winner, click, claim"
Click here to claim your iPhone now!,user0097,5622,Fake,0.95,"click, claim"
Click here to claim your free now!,user0098,1967,Fake,0.99,"free, click, claim"
Click here to claim your claim now!,user0099,8242,Fake,0.96,"click, claim"
We just hit a milestone!,user0100,1655,Real,0.93,
Grateful for 10K followers!,user0101,7713,Real,0.85,
We just hit a milestone!,user0102,225,Real,0.87,
Click here to claim your click now!,user0103,2285,Fake,0.93,"click, claim"
Click here to claim your prize now!,user0104,4835,Fake,0.86,"prize, click, claim"
Click here to claim your cash now!,user0105,148,Fake,0.95,"cash, click, claim"
